"Name","Team","G","AB","PA","H","1B","2B","3B","HR","R","RBI","BB","IBB","SO","HBP","SF","SH","GDP","SB","CS","AVG","playerid"
"Joey Votto","CIN","91","322","376","66","36","18","1","11","31","41","44","0","97","10","0","0","8","0","0",".205","4314"
"Jason Heyward","CHC","48","137","151","28","21","5","1","1","15","10","11","0","32","3","0","0","3","1","0",".204","4940"
"Josh Jung","TEX","26","98","102","20","10","4","1","5","9","14","4","0","39","0","0","0","2","2","0",".204","26299"
"Akil Baddoo","DET","73","201","225","41","34","3","2","2","30","9","24","0","64","0","0","0","2","9","6",".204","22168"
"Jonah Bride","OAK","58","162","187","33","28","4","0","1","17","6","19","0","32","4","1","1","4","1","0",".204","24703"
"Darin Ruf","- - -","119","334","388","68","45","12","0","11","52","45","45","0","105","6","3","0","11","2","0",".204","9929"
"Jackie Bradley Jr.","- - -","132","344","370","70","42","23","1","4","30","38","24","0","77","0","0","2","5","2","3",".203","12984"
"Brian Serven","COL","62","187","205","38","27","4","1","6","19","16","13","0","44","2","1","2","7","0","0",".203","19422"
"Spencer Torkelson","DET","110","360","404","73","48","16","1","8","38","28","37","0","99","5","2","0","12","0","1",".203","27465"
"Curt Casali","- - -","57","148","176","30","21","4","0","5","20","17","24","0","50","2","2","0","1","0","0",".203","12510"
"Jack Suwinski","PIT","106","326","372","66","36","11","0","19","45","38","41","1","114","4","1","0","5","4","2",".202","22244"
"Cavan Biggio","TOR","97","257","303","52","27","18","1","6","43","24","38","0","85","6","1","1","2","2","0",".202","19252"
"Carlos Santana","- - -","131","431","506","87","50","18","0","19","52","60","71","2","88","2","2","0","9","0","0",".202","2396"
"Yasmani Grandal","CHW","99","327","376","66","54","7","0","5","15","27","45","1","79","2","2","0","8","1","0",".202","11368"
"Jonathan Schoop","DET","131","481","510","97","62","23","1","11","48","38","19","1","107","6","4","0","15","5","0",".202","11265"
"Dixon Machado","SFG","5","15","17","3","3","0","0","0","1","0","1","0","5","1","0","0","0","0","0",".200","11472"
"Marcus Wilson","SEA","3","5","6","1","1","0","0","0","1","0","1","0","4","0","0","0","0","0","0",".200","17910"
"Brendon Davis","DET","3","10","11","2","2","0","0","0","2","0","1","0","3","0","0","0","0","1","0",".200","18587"
"Eli White","TEX","47","105","117","21","16","2","0","3","16","10","11","0","41","0","1","0","0","12","1",".200","19346"
"Eguy Rosario","SDP","7","5","6","1","1","0","0","0","0","0","1","0","2","0","0","0","0","0","0",".200","19964"
"Mark Kolozsvary","CIN","10","20","21","4","1","2","0","1","3","3","1","0","9","0","0","0","1","0","0",".200","21304"
"Canaan Smith-Njigba","PIT","3","5","7","1","0","1","0","0","1","0","1","0","0","1","0","0","0","0","0",".200","23264"
"Vinny Capra","TOR","8","5","7","1","1","0","0","0","2","0","2","0","1","0","0","0","0","0","0",".200","25040"
"Zach McKinstry","- - -","57","166","185","33","19","6","3","5","21","14","16","0","52","1","0","2","0","7","0",".199","19392"
"Victor Caratini","MIL","96","272","314","54","33","12","0","9","26","34","31","1","67","9","1","1","11","0","0",".199","14968"
"Skye Bolt","OAK","42","106","116","21","15","2","0","4","10","13","7","0","30","2","1","0","1","5","0",".198","17723"
"Tyler Nevin","BAL","58","157","184","31","25","4","0","2","17","16","20","0","46","4","3","0","4","0","0",".197","17893"
"Triston Casas","BOS","27","76","95","15","9","1","0","5","11","12","19","0","23","0","0","0","4","1","0",".197","22514"
"Josh Smith","TEX","73","213","253","42","35","5","0","2","23","16","28","0","50","7","3","2","1","4","3",".197","26396"
"Aristides Aquino","CIN","80","259","276","51","28","13","0","10","24","30","17","0","101","0","0","0","1","2","3",".197","15482"
"Luke Raley","TBR","22","61","72","12","9","2","0","1","7","4","7","0","24","3","1","0","1","0","0",".197","19354"
"Michael Stefanic","LAA","25","61","69","12","10","2","0","0","5","0","5","0","12","2","0","1","1","0","0",".197","25353"
"Max Muncy","LAD","136","464","565","91","47","22","1","21","69","69","90","1","141","5","6","0","2","2","0",".196","13301"
"Taylor Trammell","SEA","43","102","117","20","7","9","0","4","15","10","13","0","33","0","1","1","2","2","1",".196","19960"
"Kole Calhoun","TEX","125","388","424","76","49","14","1","12","36","49","27","0","136","6","3","0","6","3","2",".196","11200"
"Andrew Velazquez","LAA","125","322","349","63","46","8","0","9","37","28","15","0","119","3","3","6","3","17","1",".196","14196"
"James McCann","NYM","61","174","191","34","25","6","0","3","19","18","11","0","46","4","2","0","5","3","0",".195","12859"
"Geraldo Perdomo","ARI","148","431","500","84","67","10","2","5","58","40","50","0","103","5","2","12","3","9","2",".195","22799"
"Dominic Smith","NYM","58","134","152","26","15","10","1","0","11","17","12","0","37","4","2","0","0","0","0",".194","15653"
"Jonathan Aranda","TBR","32","78","87","15","9","4","0","2","10","6","8","1","23","1","0","0","1","0","0",".192","21837"
"Gabriel Arias","CLE","16","47","57","9","6","1","1","1","9","5","8","0","16","1","0","1","1","1","0",".191","22563"
"Patrick Mazeika","NYM","24","68","72","13","8","4","0","1","4","6","2","0","9","0","0","2","0","0","0",".191","18142"
"Stephen Piscotty","OAK","42","126","139","24","15","4","0","5","12","14","9","1","48","2","2","0","2","2","0",".190","13367"
"Erik Gonzalez","MIA","16","37","41","7","6","1","0","0","4","3","4","0","12","0","0","0","1","1","0",".189","13369"
"Jose Herrera","ARI","47","111","124","21","19","2","0","0","9","5","9","0","34","0","0","4","1","0","0",".189","17040"
"Seth Beer","ARI","38","111","126","21","17","3","0","1","4","9","11","1","31","3","1","0","3","0","0",".189","20493"
"Drew Ellis","- - -","7","16","17","3","2","1","0","0","2","1","1","0","7","0","0","0","0","0","0",".188","19873"
"Connor Wong","BOS","27","48","56","9","5","3","0","1","8","7","5","0","16","1","1","1","0","0","0",".188","19896"
"Miles Mastrobuoni","TBR","8","16","17","3","3","0","0","0","1","0","1","0","6","0","0","0","0","1","0",".188","20017"
"Alec Burleson","STL","16","48","53","9","7","1","0","1","4","3","5","0","9","0","0","0","1","1","0",".188","27615"
"Josh VanMeter","PIT","67","171","192","32","22","5","2","3","15","14","19","0","45","0","2","0","3","4","0",".187","15170"
"Greg Allen","PIT","46","118","134","22","16","4","0","2","17","8","10","0","42","2","1","3","2","8","2",".186","16623"
"Martin Maldonado","HOU","113","344","379","64","37","12","0","15","40","45","22","0","116","7","2","4","6","0","0",".186","6887"
"Tim Locastro","NYY","38","43","46","8","5","1","0","2","13","4","2","0","7","1","0","0","0","8","2",".186","15124"
"Jack Mayfield","LAA","23","70","74","13","10","1","1","1","8","6","3","0","17","1","0","0","1","1","0",".186","15402"
"Abraham Toro","SEA","109","324","352","60","36","13","1","10","36","35","22","1","65","2","4","0","4","2","0",".185","19844"
"Marwin Gonzalez","NYY","86","184","207","34","21","7","0","6","20","18","14","0","54","4","2","3","8","3","0",".185","5497"
"Brett Baty","NYM","11","38","42","7","5","0","0","2","4","5","2","0","8","1","0","0","0","0","0",".184","26123"
"Ernie Clement","- - -","70","163","179","30","26","4","0","0","19","6","11","0","26","2","1","2","3","0","1",".184","20352"
"Trent Grisham","SDP","152","451","524","83","48","16","2","17","58","53","57","1","150","7","2","7","3","7","1",".184","18564"
"Sam Hilliard","COL","70","174","200","32","23","6","1","2","26","14","23","0","57","1","2","0","2","5","1",".184","17954"
"Nick Pratto","KCR","49","158","182","29","12","9","1","7","18","20","19","0","66","1","3","1","6","0","0",".184","22117"
"Juan Lagares","LAA","20","60","62","11","8","2","1","0","4","0","2","0","15","0","0","0","0","0","0",".183","5384"
"Elier Hernandez","TEX","14","33","35","6","4","2","0","0","4","3","1","0","15","0","1","0","1","0","0",".182","13750"
"Monte Harrison","LAA","9","11","14","2","1","0","0","1","5","3","2","0","8","1","0","0","1","1","0",".182","17216"
"Will Benson","CLE","28","55","61","10","9","1","0","0","8","3","3","0","19","2","0","1","1","0","0",".182","21853"
"Jerar Encarnacion","MIA","23","77","81","14","8","3","0","3","7","14","3","0","32","0","1","0","3","2","0",".182","21871"
"Max Stassi","LAA","102","333","375","60","38","12","1","9","32","30","38","0","112","2","1","1","12","0","0",".180","10059"
"Tres Barrera","WSN","19","50","53","9","8","1","0","0","2","4","2","0","16","0","0","1","1","0","0",".180","19977"
"Kurt Suzuki","LAA","51","139","159","25","17","4","0","4","10","15","15","0","29","2","2","1","3","0","0",".180","8259"
"Kevin Smith","OAK","47","139","151","25","13","9","1","2","9","13","7","0","42","0","2","3","5","4","0",".180","20242"
"Jed Lowrie","OAK","50","167","184","30","22","5","0","3","14","16","15","0","39","0","2","0","5","1","0",".180","4418"
"Robinson Chirinos","BAL","67","195","220","35","22","9","0","4","10","22","19","0","67","4","1","1","4","1","0",".179","3142"
"Lorenzo Cain","MIL","43","145","156","26","20","5","0","1","17","9","8","0","36","2","1","0","4","2","2",".179","9077"
"Ryan Kreidler","DET","26","73","84","13","11","1","0","1","8","6","6","0","22","1","2","2","0","0","1",".178","25867"
"Bligh Madris","PIT","39","113","123","20","12","7","0","1","10","7","10","0","31","0","0","0","0","2","1",".177","20054"
"Cooper Hummel","ARI","66","176","201","31","17","8","3","3","20","17","23","0","64","1","1","0","4","4","1",".176","19458"
"Riley Adams","WSN","48","142","155","25","16","4","0","5","14","10","12","0","46","1","0","0","2","0","1",".176","19864"
"Jordan Luplow","ARI","83","205","234","36","20","5","0","11","26","28","25","1","60","3","1","0","5","5","1",".176","16424"
"Ehire Adrianza","- - -","37","97","110","17","14","3","0","0","8","7","11","0","25","1","1","0","2","1","0",".175","8418"
"Cole Tucker","PIT","18","63","63","11","9","1","1","0","3","2","0","0","25","0","0","0","1","1","0",".175","17326"
"Andrelton Simmons","CHC","35","75","85","13","12","1","0","0","8","7","7","0","13","0","0","3","5","4","0",".173","10847"
"Taylor Walls","TBR","142","407","466","70","42","18","2","8","53","33","52","0","120","2","2","2","6","10","3",".172","22458"
"Esteury Ruiz","- - -","17","35","36","6","4","1","1","0","3","2","1","0","7","0","0","0","0","1","2",".171","21780"
"Yoshi Tsutsugo","PIT","50","170","193","29","23","4","0","2","11","19","19","0","50","0","4","0","3","0","0",".171","27459"
"Miguel Vargas","LAD","18","47","50","8","6","1","0","1","4","8","2","0","13","0","1","0","0","1","0",".170","20178"
"Mickey Moniak","- - -","37","106","112","18","11","3","1","3","13","8","4","0","44","1","0","1","0","1","0",".170","19956"
"Sandy Leon","- - -","34","71","86","12","9","3","0","0","6","4","13","0","27","0","0","2","2","0","0",".169","5273"
"Lewin Diaz","MIA","58","160","174","27","18","4","0","5","12","11","11","0","54","1","2","0","3","1","0",".169","18365"
"Taylor Motter","CIN","2","6","6","1","1","0","0","0","0","0","0","0","3","0","0","0","0","0","0",".167","12399"
"Lewis Brinson","SFG","16","36","39","6","1","2","0","3","5","4","2","0","14","0","0","1","0","1","0",".167","14352"
"Grayson Greiner","ARI","2","6","8","1","1","0","0","0","0","0","2","0","3","0","0","0","0","0","0",".167","17062"
"Richie Martin","BAL","13","30","33","5","3","0","2","0","4","3","3","0","10","0","0","0","0","3","1",".167","17736"
"Chris Okey","CIN","7","12","13","2","2","0","0","0","3","0","0","0","5","1","0","0","0","0","0",".167","19245"
"Mark Vientos","NYM","16","36","41","6","4","1","0","1","3","3","5","0","12","0","0","0","1","0","0",".167","22184"
"Cal Stevenson","OAK","23","60","71","10","7","3","0","0","5","1","8","0","23","0","1","2","1","1","1",".167","22411"
"Mike Siani","CIN","9","24","24","4","4","0","0","0","1","0","0","0","7","0","0","0","1","0","1",".167","22557"
"Francisco Alvarez","NYM","5","12","14","2","0","1","0","1","3","1","2","0","4","0","0","0","1","0","0",".167","26121"
"J.J. Bleday","MIA","65","204","238","34","17","10","2","5","21","16","30","0","67","2","2","0","5","4","1",".167","26368"
"Cristian Pache","OAK","91","241","260","40","30","5","2","3","18","18","15","0","70","1","0","3","5","2","2",".166","19948"
"Magneuris Sierra","LAA","45","91","96","15","11","1","3","0","7","5","4","0","25","0","0","1","0","6","1",".165","17023"
"Travis Jankowski","- - -","44","55","64","9","9","0","0","0","11","2","8","0","10","1","0","0","0","3","0",".164","13768"
"Austin Hedges","CLE","105","294","338","48","37","4","0","7","26","30","25","0","78","6","3","10","12","2","0",".163","12976"
"Vidal Brujan","TBR","52","147","162","24","16","5","0","3","13","16","12","0","37","1","2","0","2","5","5",".163","20536"
"Stephen Vogt","OAK","70","168","191","27","15","4","1","7","18","23","17","0","46","2","4","0","4","1","0",".161","5000"
"Joey Gallo","- - -","126","350","410","56","27","8","2","19","48","47","56","0","163","3","1","0","0","3","0",".160","14128"
"Eddy Alvarez","LAD","14","25","27","4","4","0","0","0","1","3","0","0","9","0","1","1","1","1","0",".160","16959"
"Korey Lee","HOU","12","25","26","4","2","2","0","0","1","4","1","0","9","0","0","0","1","0","0",".160","25543"
"Meibrys Viloria","TEX","26","63","75","10","7","1","0","2","10","5","11","0","29","0","1","0","0","0","0",".159","17109"
"Steven Souza Jr.","SEA","6","19","19","3","3","0","0","0","0","1","0","0","8","0","0","0","2","0","0",".158","5667"
"Guillermo Heredia","ATL","74","76","82","12","5","3","1","3","12","8","6","0","32","0","0","0","1","0","0",".158","18721"
"Donovan Walton","- - -","25","76","78","12","3","8","0","1","9","8","1","0","16","1","0","0","1","0","0",".158","19314"
"Paul DeJong","STL","77","210","237","33","18","9","0","6","19","25","21","0","79","4","2","0","2","3","2",".157","18015"
"Austin Romine","- - -","51","129","136","20","14","3","0","3","10","9","4","0","46","1","0","2","2","0","0",".155","5491"
"Zack Collins","- - -","36","97","108","15","7","4","0","4","9","11","9","0","41","1","1","0","0","0","0",".155","19181"
"Max Schrock","CIN","13","26","27","4","4","0","0","0","1","1","1","0","6","0","0","0","0","0","0",".154","17750"
"Sebastian Rivero","KCR","17","26","29","4","4","0","0","0","2","1","2","0","10","0","0","1","0","0","0",".154","21735"
"Jeter Downs","BOS","14","39","41","6","4","1","0","1","4","4","1","0","21","0","1","0","0","0","0",".154","22202"
"Steven Duggar","- - -","29","72","80","11","7","3","1","0","7","4","7","0","41","0","1","0","0","5","1",".153","17719"
"Jose Barrero","CIN","48","165","174","25","20","3","0","2","13","10","9","0","76","0","0","0","4","4","1",".152","23378"
"Robinson Cano","- - -","33","100","104","15","13","1","0","1","5","4","4","0","25","0","0","0","2","0","0",".150","3269"
"Ben DeLuzio","STL","22","20","25","3","2","1","0","0","3","0","3","0","5","1","0","1","0","0","1",".150","19644"
"Michael Perez","- - -","45","121","132","18","12","0","0","6","10","14","10","0","32","0","0","1","2","1","0",".149","12977"
"Phil Gosselin","- - -","34","74","77","11","10","0","1","0","6","2","2","0","24","1","0","0","1","0","0",".149","10953"
"Mike Zunino","TBR","36","115","123","17","9","3","0","5","7","16","6","0","46","1","1","0","2","0","0",".148","13265"
"Matt Davidson","- - -","13","34","37","5","3","0","0","2","3","3","3","0","13","0","0","0","0","0","1",".147","7226"
"Kody Clemens","DET","57","117","127","17","8","4","0","5","13","17","8","0","33","0","2","0","1","1","0",".145","20572"
"Brett Phillips","- - -","83","201","225","29","18","6","0","5","22","15","16","0","94","3","1","4","0","7","0",".144","14735"
"Manny Pina","ATL","5","14","17","2","2","0","0","0","1","2","1","0","1","1","1","0","0","0","0",".143","2829"
"Terrance Gore","NYM","10","7","8","1","1","0","0","0","1","0","0","0","3","0","0","1","0","3","0",".143","13658"
"Gosuke Katoh","TOR","8","7","11","1","0","1","0","0","2","0","3","0","1","0","0","1","0","0","0",".143","15697"
"Mark Payton","CHW","8","21","25","3","3","0","0","0","3","1","4","0","4","0","0","0","0","0","0",".143","16042"
"Chad Wallach","LAA","12","35","40","5","3","1","0","1","3","4","4","0","9","0","0","1","1","0","0",".143","17161"
"Kelvin Gutierrez","BAL","12","28","33","4","3","1","0","0","2","3","4","0","8","0","0","0","1","1","0",".143","17468"
"Jermaine Palacios","MIN","30","70","77","10","8","0","0","2","8","6","4","0","27","0","2","1","2","0","0",".143","18371"
"Kyle Lewis","SEA","18","56","62","8","5","0","0","3","6","5","5","0","19","1","0","0","2","0","0",".143","19508"
"Simon Muzziotti","PHI","9","7","9","1","1","0","0","0","0","0","0","0","2","1","0","1","0","0","0",".143","19553"
"Rylan Bannon","- - -","5","14","15","2","2","0","0","0","0","0","0","0","5","1","0","0","0","0","0",".143","19768"
"Michael Papierski","- - -","39","91","103","13","11","1","0","1","7","4","10","0","26","0","0","2","4","0","0",".143","21386"
"Payton Henry","MIA","15","28","35","4","4","0","0","0","2","4","5","0","8","2","0","0","0","0","0",".143","22164"
"Jarred Kelenic","SEA","54","163","181","23","10","5","1","7","20","17","16","0","61","1","1","0","3","5","2",".141","22558"
"Adalberto Mondesi","KCR","15","50","54","7","7","0","0","0","3","3","4","0","20","0","0","0","2","5","0",".140","13769"
"David MacKinnon","- - -","22","50","57","7","7","0","0","0","2","6","6","0","17","0","1","0","2","0","0",".140","19625"
"Nick Plummer","NYM","14","29","31","4","1","1","0","2","4","6","1","0","12","1","0","0","1","0","0",".138","18690"
"Ryan Aguilar","LAA","7","22","26","3","2","1","0","0","2","2","2","0","14","1","1","0","0","0","0",".136","19967"
"Chuckie Robinson","CIN","25","59","60","8","4","2","0","2","3","5","0","0","17","0","0","1","5","0","0",".136","19824"
"Willie Calhoun","- - -","22","52","62","7","3","3","0","1","7","3","9","0","8","1","0","0","2","0","0",".135","17838"
"Jonathan Arauz","- - -","15","38","41","5","4","0","0","1","3","5","1","0","12","0","1","1","0","0","0",".132","20275"
"Andrew Knapp","- - -","16","39","46","5","4","1","0","0","4","4","5","0","12","1","1","0","0","0","0",".128","14942"
"Ender Inciarte","NYM","11","8","8","1","1","0","0","0","1","0","0","0","0","0","0","0","0","0","0",".125","4922"
"Justin Upton","SEA","17","48","57","6","4","1","0","1","2","3","6","0","23","3","0","0","1","0","0",".125","5222"
"Jason Krizan","SFG","3","8","10","1","1","0","0","0","0","0","2","0","3","0","0","0","0","0","0",".125","12394"
"Jose Rojas","LAA","22","56","57","7","5","2","0","0","1","1","0","0","19","1","0","0","1","0","0",".125","19331"
"Brent Rooker","- - -","16","32","36","4","3","1","0","0","1","2","3","0","11","1","0","0","2","0","0",".125","19627"
"Yainer Diaz","HOU","6","8","9","1","0","1","0","0","0","1","1","0","2","0","0","0","0","0","0",".125","23003"
"Bradley Zimmer","- - -","109","105","117","13","6","5","0","2","18","5","5","0","45","6","0","1","0","3","2",".124","16221"
"Alex Dickerson","ATL","13","33","36","4","3","0","0","1","3","2","3","0","9","0","0","0","3","0","0",".121","12649"
"Dom Nunez","COL","14","33","41","4","3","1","0","0","3","2","6","0","10","0","2","0","0","0","0",".121","15055"
"Kevin Padlo","- - -","13","33","34","4","3","1","0","0","0","3","1","0","10","0","0","0","2","0","0",".121","16593"
"Mark Contreras","MIN","28","58","61","7","3","1","0","3","9","6","1","0","21","1","1","0","2","1","0",".121","20122"
"Bobby Bradley","CLE","8","17","17","2","2","0","0","0","1","0","0","0","9","0","0","0","0","0","0",".118","17278"
"Niko Goodrum","HOU","15","43","45","5","3","2","0","0","2","1","2","0","23","0","0","0","0","1","0",".116","12092"
"Jason Castro","HOU","34","78","88","9","6","2","0","1","6","3","8","0","40","1","1","0","1","1","0",".115","8722"
"Anthony Bemboom","BAL","22","52","59","6","3","2","0","1","4","1","6","0","17","0","0","1","1","0","0",".115","13854"
"Michael Hermosillo","CHC","31","61","73","7","5","2","0","0","7","4","7","0","27","4","0","1","0","1","0",".115","16285"
"Lenyn Sosa","CHW","11","35","36","4","2","1","0","1","3","1","1","0","12","0","0","0","2","0","0",".114","22896"
"Bryce Johnson","SFG","11","18","19","2","2","0","0","0","1","2","1","0","7","0","0","0","0","0","0",".111","20002"
"Ivan Herrera","STL","11","18","22","2","2","0","0","0","0","1","2","0","8","0","1","1","0","0","0",".111","20599"
"Ford Proctor","SFG","7","18","22","2","1","0","0","1","3","6","2","0","3","0","2","0","0","0","0",".111","21634"
"Travis Swaggerty","PIT","5","9","9","1","1","0","0","0","0","0","0","0","4","0","0","0","0","0","0",".111","24491"
"Yolmer Sanchez","- - -","17","37","44","4","4","0","0","0","1","2","5","0","13","0","0","2","0","0","2",".108","11602"
"Chris Owings","BAL","27","56","68","6","4","2","0","0","6","0","10","0","24","1","0","1","3","1","0",".107","10030"
"Matt Batten","SDP","15","19","22","2","1","1","0","0","0","1","2","0","6","1","0","0","0","0","0",".105","20157"
"Heliot Ramos","SFG","9","20","22","2","2","0","0","0","4","0","2","0","6","0","0","0","1","0","0",".100","22515"
"Estevan Florial","NYY","17","31","35","3","3","0","0","0","4","1","3","0","13","1","0","0","0","2","0",".097","19151"
"Billy McKinney","OAK","23","52","57","5","3","1","0","1","3","4","4","1","16","0","1","0","0","0","0",".096","15654"
"Matt Beaty","SDP","20","43","47","4","2","1","1","0","6","1","2","0","8","2","0","0","3","0","0",".093","17710"
"Dillon Thomas","LAA","8","11","14","1","1","0","0","0","1","0","2","0","6","1","0","0","0","0","0",".091","12719"
"Miguel Sano","MIN","20","60","71","5","4","0","0","1","1","3","9","0","25","1","1","0","0","1","0",".083","12164"
"Kevin Pillar","LAD","4","12","13","1","0","1","0","0","1","0","1","0","4","0","0","0","1","0","0",".083","12434"
"Yonny Hernandez","ARI","12","24","28","2","2","0","0","0","2","0","2","0","4","0","0","2","0","2","0",".083","19432"
"Bryan Lavastida","CLE","6","12","15","1","1","0","0","0","0","0","3","0","4","0","0","0","0","0","0",".083","24765"
"Tim Beckham","MIN","12","25","25","2","2","0","0","0","1","1","0","0","9","0","0","0","2","0","0",".080","7949"
"Lucius Fox","WSN","10","25","28","2","2","0","0","0","2","2","1","0","9","0","0","2","1","1","0",".080","18899"
"Israel Pineda","WSN","4","13","14","1","1","0","0","0","1","0","1","0","7","0","0","0","0","0","0",".077","22906"
"Austin Allen","OAK","5","14","16","1","1","0","0","0","1","0","1","0","9","1","0","0","1","0","0",".071","18083"
"Steele Walker","TEX","5","14","16","1","0","0","0","1","1","1","2","0","4","0","0","0","0","0","0",".071","22093"
"Caleb Hamilton","MIN","22","18","23","1","0","0","0","1","5","1","4","0","14","0","0","1","0","0","0",".056","19842"
"Billy Hamilton","- - -","37","20","23","1","1","0","0","0","13","0","2","0","12","0","0","1","0","10","1",".050","10199"
"Jose Godoy","- - -","10","20","22","1","1","0","0","0","3","1","2","0","9","0","0","0","0","0","0",".050","15808"
"Tommy Hunter","NYM","18","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",".000","1157"
"Matt Bush","- - -","65","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",".000","1246"
"Adam Ottavino","NYM","66","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",".000","1247"
"Oliver Perez","ARI","7","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",".000","1514"
"Sean Doolittle","WSN","6","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",".000","1581"
"Matt Moore","TEX","63","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",".000","1890"
"Zack Greinke","KCR","26","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",".000","1943"
"Clayton Kershaw","LAD","22","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",".000","2036"
"Adam Wainwright","STL","32","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",".000","2233"
"Corey Kluber","TBR","31","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",".000","2429"
"Lance Lynn","CHW","21","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",".000","2520"
"Jhoulys Chacin","COL","35","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",".000","2608"
"Ross Detwiler","CIN","30","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",".000","2859"
"Kenley Jansen","ATL","65","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",".000","3096"
"Max Scherzer","NYM","23","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",".000","3137"
"David Price","LAD","40","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",".000","3184"
"T.J. McFarland","STL","28","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",".000","3237"
"Zack Britton","NYY","3","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",".000","3240"
"Joe Smith","MIN","34","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",".000","3281"
"Anibal Sanchez","WSN","14","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",".000","3284"
"Darren O'Day","ATL","28","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",".000","3321"
"Liam Hendriks","CHW","58","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",".000","3548"
"Mark Melancon","ARI","62","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",".000","4264"
"Justin Wilson","CIN","5","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",".000","4301"
"Charlie Morton","ATL","31","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",".000","4676"
"Rich Hill","BOS","26","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",".000","4806"
"Jake Diekman","- - -","70","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",".000","5003"
"Anthony Gose","CLE","22","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",".000","5097"
"Jeurys Familia","- - -","48","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",".000","5114"
"Jose Alvarez","SFG","21","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",".000","5358"
"Manny Banuelos","- - -","35","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",".000","5365"
"Michael Pineda","DET","11","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",".000","5372"
"Pedro Baez","HOU","3","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",".000","5420"
"Jesse Chavez","- - -","60","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",".000","5448"
"Arodys Vizcaino","KCR","7","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",".000","5498"
"Madison Bumgarner","ARI","30","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",".000","5524"
"Ryan Brasier","BOS","68","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",".000","5615"
"Tyler Clippard","WSN","4","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",".000","5640"
"Huascar Brazoban","MIA","27","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",".000","6107"
"David Phelps","TOR","65","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",".000","6316"
"Chris Archer","MIN","25","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",".000","6345"
"Jake Odorizzi","- - -","22","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",".000","6397"
"Trevor May","NYM","26","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",".000","6398"
"Jose Cisnero","DET","28","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",".000","6399"
"Steve Cishek","WSN","69","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",".000","6483"
"Alex Cobb","SFG","28","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",".000","6562"
"Carlos Carrasco","NYM","29","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",".000","6632"
